ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
216,Gary,Boss 3 Intro,,Really? Another rat?,Quoi ? Un autre rongeur ?,Im Ernst? Noch eine Ratte?,¿En serio? ¿Otra rata?,Sério? Outro rato?,Серьезно? Опять крыса?,おいおい？またネズミか？,또야? 다른 쥐인가?,什么鬼？又是老鼠？,當真？又是隻老鼠？,什么鬼？又是只老鼠？
217,Gary,Boss 3 Intro,,There is something really weird going on here.,"Il se passe vraiment quelque chose d'étrange, ici.",Hier geht etwas sehr Seltsames vor.,Aquí está pasando algo muy raro.,Tem alguma coisa muito estranha acontecendo por aqui.,Здесь что-то очень сильно не так.,ここでは確かに妙なことが 起きているようだ...,여기서 이상한 일이 벌어지고 있는 게 틀림없어.,这里真的很不对劲。,這裡絕對有黑幕。,这里绝对有猫腻。
218,Mouse,Boss 3 Intro,,He he he...,"Hé, hé, hé...",Hehehe ...,"Je, je, je...",He he he...,И-хи-хи-хи...,ウヒヒヒ...,헤 헤 헤...,哎嘿嘿嘿……,哎嘿嘿嘿...,哎嘿嘿嘿...
219,Gary,Boss 3 Intro,,"Enough! Kiki, you know what to do!","Ça suffit ! Kiki, tu sais ce qu'il te reste à faire !","Genug! Du weißt, was du zu tun hast, Kiki!","¡Basta! ¡Kiki, ya sabes lo que tienes que hacer!","Já chega! Kiki, você já sabe o que fazer!","Все, с меня хватит. Кики, ты знаешь, что делать.",だまれ！キキ、あとは頼んだぞ！,"이제 됐어! 나비야, 말 안 해도 알지?",够了！琪琪，你知道该怎么做的！,夠了！琪琪，你知道該怎麼做！,够了！琪琪，你知道该怎么做！
220,Gary,Boss 3 Outro,,Wow! That was intense!,Wouah ! C'était intense !,Wow! Das war heftig!,¡Caramba! ¡Qué tensión!,Uau! Que intenso!,Ого! Было жестко!,ふう！危なかった！,우와! 치열했는데!,哇！真是激烈！,哇哦！真是激烈啊！,哇哦！真是激烈啊！
221,Gary,Boss 3 Outro,,"Are you doing alright, Kiki?","Ça va, Kiki ?","Ist bei dir alles in Ordnung, Kiki?","¿Estás bien, Kiki?","Você está bem, Kiki?","Ты как, Кики, все нормально?",だいじょうぶか、キキ？,"다치진 않았지, 나비야?",你没事吧，琪琪？,你沒事吧，琪琪？,你没事吧，琪琪？
222,Kiki,Boss 3 Outro,,...,...,...,...,...,...,...,...,……,...,...
223,Gary,Boss 3 Outro,,Kiki! You're burning up!!,Kiki ! Tu brûles !,Kiki! Du glühst ja!!,¡Kiki! ¡¡Te estás quemando!!,Kiki! Você está pegando fogo!,Кики! Да ты горишь!,キキ！すごい熱だ！,나비야! 너 엄청 더운 모양이구나!!,琪琪！你就要烧起来了！！,琪琪！你溫度太高了！！,琪琪！你温度太高了！！
224,Gary,Boss 3 Outro,,"Well I have good news. To cool the entire area,","Mais j'ai une bonne nouvelle. Pour refroidir la zone,","Ich habe gute Neuigkeiten. Um das komplette Gebiet zu kühlen,","Bueno, tengo buenas noticias. Para enfriar toda el área,","Bem, eu tenho boas notícias. Para esfriar este lugar inteiro,","Так, у меня хорошие новости. Остудить эту зону довольно легко,",だが案ずるな。次の部屋の 加熱チューブを破壊すれば...,"음, 좋은 소식이 있어. 이곳 전체를 식히려면,",不过我有好消息。想给这整片地区降温，,但是我有好消息。想給整片地區降溫，,但是我有好消息。想给整片地区降温，
225,Gary,Boss 3 Outro,,just destroy the heater tubes in the next room.,il te suffit de détruire les tuyaux de la chaudière dans la pièce suivante.,musst du einfach nur die Heizrohre im nächsten Raum zerstören.,solo hay que destruir los tubos de calefacción de la siguiente sala.,basta destruir os canos de calefação na área seguinte.,Просто уничтожь нагревательный элемент в следующей комнате.,エリア全体を冷却できよう。,옆방에 있는 히터 튜브를 파괴하기만 하면 돼.,只要到下间去房破坏加热管就行了。,去下一個房間破壞加熱管道就好了。,去下一个房间破坏加热管道就好了。
226,Gary,Cleared Heater Tubes,,"Ahh... Looks like that did the trick, Kiki!","Ah... On dirait que ça a marché, Kiki !","Ah ... Das hat anscheinend funktioniert, Kiki.","Ah... ¡Parece que ha funcionado, Kiki!","Ahh... Acho que funcionou, Kiki!","Ох... Вот видишь, Кики, помогло!",おお...どうやらうまくいったぞ、キキ！,"아... 잘 먹힌 거 같아, 나비야!",啊……看样子奏效了，琪琪！,啊...看樣子成功了呢，琪琪！,啊...看样子成功了呢，琪琪！
227,Gary,Cleared Heater Tubes,,The area should be nice and cool now!,"Il devrait faire bien meilleur, maintenant.",Das Gebiet sollte jetzt angenehm kühl sein.,¡Ahora el área debería estar más fresquita!,A temperatura local ficará bem mais agradável!,Теперь у тебя там должно быть прохладно!,辺りはもうヒンヤリ快適なはずだ！,이제 이곳이 시원해질 거야!,这片区域应该变得很凉爽宜人了吧！,周圍應該涼爽多了吧！,周围应该凉爽宜人了吧！
228,Kiki,Cleared Heater Tubes,,MEOW!!!,MIAOU !,MIAU!!!,¡¡MIAU!!,MIAU!!!,МЯЯЯЯ!,みゃおん！！！,야옹!!!,喵！！！,喵喵！！！,喵喵！！！
229,Gary,Cleared Heater Tubes,,Now you'll be able to exit the Mech safely.,Tu vas pouvoir sortir de ta combinaison sans risque.,Jetzt kannst du den Mech gefahrlos verlassen.,Ahora podrás salir del meca sin problemas.,Agora você já pode sair da armadura em segurança.,Теперь можно вылезать из костюма.,これで安全にスーツを脱げる。,이제 메크를 안전하게 나올 수 있겠구나.,现在你能安全地脱出机甲了。,你現在能安全脫出機甲了。,你现在能安全脱出机甲了。
230,Gary,Cleared Heater Tubes,,Let's get you back to the Nexus and continue the job.,Retourne au centre de contrôle pour passer à la suite.,"Wir bringen dich jetzt zurück zum Nexus, damit du die Mission fortsetzen kannst.",Volvamos al nexo para seguir con el trabajo.,Vamos voltar para o Nexus e continuar o trabalho.,Давай вернемся в Нексус и будем продолжать в том же духе.,ネクサスへ戻って、任務を続けよう。,넥서스로 돌아가서 할 일을 계속하자.,我们回奈克瑟斯继续任务吧。,我們回新星中心繼續做事吧。,咱们回新星中心继续干活吧。
231,Gary,Ventilation Begin,,Hey Kiki... We need to talk about something.,"Hé, Kiki... Nous devons parler de quelque chose.",Hey Kiki ... Wir müssen etwas besprechen.,"Oye, Kiki... Tenemos que hablar de una cosa.","Ei, Kiki... Preste atenção no que eu vou dizer.","Эй, Кики... Нам надо поговорить.",やあ、キキ...おまえにちょっと 話がある。,"저기, 나비야... 잠시 이야기할 게 있는데.",嘿，琪琪……有些事我们得聊聊。,嘿琪琪...我們得談談。,嘿琪琪...咱们得谈谈。
232,Gary,Ventilation Begin,,"Don't worry, kitty!","Ne t'inquiète pas, minette !","Keine Sorge, Kätzchen!","¡No te preocupes, gatita!","Não se preocupe, bichana!","Не-не, ничего такого!",そう身構えるな、ネコちゃん！,"걱정 마, 나비야!",别担心，小猫咪！,別擔心，小貓咪！,别担心，小猫咪！
233,Gary,Ventilation Begin,,I've got some intel about this area.,J'ai des informations sur cette zone.,Ich habe ein paar Informationen über dieses Gebiet.,Tengo algunos datos sobre esta área.,Tenho algumas informações sobre esta área.,Просто я тут смотрю на схему этой зоны.,このエリアなんだが...,이 지역에 관한 정보를 좀 가지고 있으니까.,我有这片地区的部分情报。,我得到了這片地區的一些情報。,我得到了这片地区的一些情报。
234,Gary,Ventilation Begin,,"The vents are kind of narrow. So, in other words,",Les conduits sont assez étroits. Autrement dit...,Die Lüftungen sind recht schmal. Du kannst dich,Los conductos de ventilación son un poco estrechos. En otras palabras...,"Os dutos de ventilação são meio estreitos. Então, em outras palavras,","Вентиляционные шахты очень узкие. Я вот что сказать пытаюсь,",ダクトがちょいと狭いんだ。すなわち...,"통풍구가 조금 좁네. 그러니까, 다시 말해서...",通风通道似乎有点窄。也就是说，,似乎通風管道有點窄。所以，換句話說呢，,似乎通风管道有点窄。所以，换句话说呢，
235,Gary,Ventilation Begin,,You won't be able to rely on the Mech here.,Tu vas devoir te passer de ta combinaison.,hier also nicht auf den Mech verlassen.,Aquí no podrás utilizar el meca.,Você não poderá contar com a armadura robótica aqui.,Ты в костюме тут не пролезешь.,ここではスーツが使えない。,여기선 메크에 의존할 수 없을 거야.,在这里你用不了机甲。,在這裡你沒辦法靠機甲了。,在这儿你没法靠机甲了。
236,Gary,Ventilation Begin,,Just take it slow and I'm sure you'll be fine.,Prends ton temps et je suis sûr que tout va bien se passer.,"Geh es einfach langsam an, dann geht sicher alles gut.",Avanza lentamente y seguro que todo irá bien.,"É só ir com calma, que tudo vai dar certo.","Ты, главное, не торопись никуда и все будет нормально, ладно?",とにかくあせらず、ゆっくり進め。 おまえならきっと乗り越えられる。,천천히 나아가면 분명 별문제 없을 거야.,慢慢来，我相信你能行。,一點一點慢慢來，我相信你沒問題的。,一点点慢慢来，我相信你没问题的。
237,Gary,Ventilation Begin,,Over and out.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
238,Gary,Ventilation Tutorial,,"Hey Kiki, listen! See that...","Kiki, écoute-moi ! Tu vois ça ?","He, Kiki. Hör mal! Siehst du dieses ...","¡Kiki, escucha! Fíjate...","Ei, Kiki, escute! Está vendo...","Так, Кики, смотри! Видишь, там...",よしキキ、聞くんだ！あそこの...,"저기 나비야, 들어봐! 저기 있는...",嘿，琪琪，听我说！看见那个没……,嘿琪琪，聽我說！看見那個沒...,嘿琪琪，听我说！看见那个没...
239,Gary,Ventilation Tutorial,,Oh...,Oh...,Oh ...,Oh...,Ah...,Ох...,おお...,어...,哦……,哦...,哦...
240,Gary,Ventilation Tutorial,,"Sorry, Kitty... I guess I just like to help...","Excuse-moi, minette... J'essaie de t'aider...","Tut mir leid, Kätzchen ... Ich helfe wohl einfach gern ...","Perdona, gatita... Solo quería ayudar...","Desculpe, bichana... É que eu gosto de ajudar...","Прости, котейка... Не буду больше лезть...",すまない、ネコちゃん... 力になってやるつもりが...,"미안, 나비야... 도와주려고 한 건데...",抱歉，小猫咪……我可能太爱插手帮忙了……,抱歉，小貓咪...我可能太愛指手畫腳了...,抱歉，小猫咪...我可能太爱指手画脚了...
241,Gary,Ventilation Tutorial,,Looks like you can handle this on your own.,Mais je crois que tu peux t'en sortir toute seule.,"Sieht so aus, als ob du das alleine schaffst.",Parece que puedes apañártelas sola.,"Pelo visto, você pode se virar sozinha.",Ты же и сама прекрасно справляешься.,おまえひとりでも十分やれそうだ。,네가 알아서 잘 할 수 있는 거 같네.,看来你自己能够搞定这些事。,似乎你自己完全搞得定。,似乎你自己完全搞得定。
242,Gary,Ventilation Tutorial,,I'm so proud!,Je suis fier de toi !,Ich bin so stolz!,¡Estoy muy orgulloso!,Estou muito orgulhoso de você!,Я так тобой горжусь!,誇りに思うぞ！,정말 자랑스럽구나!,我很骄傲！,我好驕傲呀！,我好骄傲呀！
243,Gary,Ventilation Tutorial,,Over and out!,Terminé !,Ende und aus!,¡Cambio y corto!,"Câmbio, desligo!",Конец связи.,通信を終了する。,통신 끝!,通话完毕。,完畢！,完毕！
244,Mouse,Boss 4 Intro,,It's been inspiring... watching your progress.,C'est vraiment fascinant... d'observer ta progression.,"Es war anregend, deinen Fortschritt zu beobachten.",Ha sido muy emocionante... ver cómo avanzabas.,Tem sido inspirador... acompanhar o seu progresso.,Твой прогресс... вдохновляет.,おまえの成長をながめるのは... わくわくしたぞ。,아주 좋아... 계속 그렇게 나아가도록.,看着你一步步走来……真是鼓舞人心。,看你一步步走過來...真的很振奮人心。,看你一步步走过来...真的很振奋人心。
245,Gary,Boss 4 Intro,,Who is there?,Qui est là ?,Wer ist da?,¿Quién anda ahí?,Quem está aí?,Кто там?,何者だ？,누구냐?,谁在那？,是誰？,是谁？
246,Mouse,Boss 4 Intro,,You haven't figured it out yet?,Tu n'as toujours pas compris ?,Das hast du noch nicht herausgefunden?,¿Todavía no lo has averiguado?,Ainda não descobriu?,Неужели ты все еще не понял?,まだわからんのか？,아직도 모르겠어?,你还没弄明白吗？,你還沒琢磨明白呢？,你还没琢磨明白呢？
247,Mouse,Boss 4 Intro,,Gary?!,Gary ?,Gary?!,¡¿Gary?!,Gary?!,Гэри?,ゲイリー？！,게리?!,盖瑞？！,蓋瑞？！,盖瑞？！
248,Gary,Boss 4 Intro,,"I don't know WHAT you are, but this ends NOW!","Je ne sais pas qui tu es, mais maintenant, ça suffit !","Ich weiß nicht, WAS du bist, doch das endet JETZT!","¡No sé QUÉ eres, pero esto se va a acabar YA!","Não sei o QUE você é, mas isso acaba AGORA!","Я не знаю, ЧТО ты такое, но тебе конец!",おまえが誰であれ、ここで決着がつく！,"네가 뭔진 모르겠지만, 이번에야말로 끝을 내주마!",虽然我不知道你是什么，但我们现在该来个了断了！,我不知道你是個什麼東西，但我們現在要做個了斷！,我不知道你是个什么东西，但我们现在要做个了断！
249,Gary,Boss 4 Intro,,Kiki! Crush that little freak!,Kiki ! Occupe-toi de cette souris !,Kiki! Mach diesen kleinen Freak platt!,¡Kiki! ¡Aplasta a ese monstruito!,Kiki! Acabe com esse monstrinho!,"Кики! Растопчи его, радость моя!",キキ！あのネズミをとっちめろ！,나비야! 저 꼬맹이를 쓰러뜨려버려!,琪琪！击垮那个小怪物！,琪琪！搞死那個小雜碎！,琪琪！搞死那个小杂碎！
